ID;Especie;País;Código_ISO_Alpha3
96;Paulownia;China;CHN
97;Pino coreano;Corea del Sur;KOR
98;Eucalipto azul;Australia;AUS
99;Acacia dorada;Australia;AUS
100;Kauri;Nueva Zelanda;NZL
101;Guanacaste;Costa Rica;CRI
102;Guachipelín;Costa Rica;CRI
103;Roble sabana;Costa Rica;CRI
104;Corteza amarilla;Costa Rica;CRI
105;Almendro de montaña;Costa Rica;CRI
106;Ceiba;Guatemala;GTM
107;Matilisguate;Guatemala;GTM
108;Pinabete;Guatemala;GTM
109;Caoba;Belice;BLZ
110;Santa María;Belice;BLZ
111;Bálsamo;El Salvador;SLV
112;Maquilishuat;El Salvador;SLV
113;Pino ocote;Honduras;HND
114;Liquidámbar;Honduras;HND
115;Madroño;Nicaragua;NIC
116;Genízaro;Nicaragua;NIC
117;Árbol Panamá;Panamá;PAN
118;Espavé;Panamá;PAN
119;Palma real;Cuba;CUB
120;Jagüey;Cuba;CUB
121;Caoba dominicana;República Dominicana;DOM
122;Pino criollo;República Dominicana;DOM
123;Guayacán;Puerto Rico;PRI
124;Ausubo;Puerto Rico;PRI
125;Ahuehuete;México;MEX
126;Oyamel;México;MEX
127;Mezquite;México;MEX
128;Copal;México;MEX
129;Sabino;México;MEX
130;Arce azucarero;Canadá;CAN
131;Abeto balsámico;Canadá;CAN
132;Cedro rojo occidental;Canadá;CAN
133;Secuoya gigante;Estados Unidos;USA
134;Secuoya roja;Estados Unidos;USA
135;Pino ponderosa;Estados Unidos;USA
136;Roble blanco;Estados Unidos;USA
137;Nogal negro;Estados Unidos;USA
138;Araucaria;Chile;CHL
139;Alerce patagónico;Chile;CHL
140;Coigüe;Chile;CHL
141;Lenga;Argentina;ARG
142;Quebracho colorado;Argentina;ARG
143;Ombú;Argentina;ARG
144;Lapacho rosado;Paraguay;PRY
145;Palo santo;Paraguay;PRY
146;Tajibo;Bolivia;BOL
147;Queñua;Bolivia;BOL
148;Árbol de la quina;Perú;PER
149;Algarrobo peruano;Perú;PER
150;Cedro andino;Ecuador;ECU
151;Arrayán;Ecuador;ECU
152;Palma de cera;Colombia;COL
153;Guayacán amarillo;Colombia;COL
154;Araguaney;Venezuela;VEN
155;Samán;Venezuela;VEN
156;Pau-brasil;Brasil;BRA
157;Castaño de Brasil;Brasil;BRA
158;Caucho amazónico;Brasil;BRA
159;Ipê amarillo;Brasil;BRA
160;Alcornoque;Portugal;PRT
161;Olivo;España;ESP
162;Encina;España;ESP
163;Haya europea;Alemania;DEU
164;Roble inglés;Reino Unido;GBR
165;Fresno europeo;Irlanda;IRL
166;Abedul plateado;Finlandia;FIN
167;Abeto rojo;Noruega;NOR
168;Pino silvestre;Suecia;SWE
169;Tilo europeo;República Checa;CZE
170;Castaño europeo;Italia;ITA
171;Plátano de sombra;Francia;FRA
172;Cedro del Líbano;Líbano;LBN
173;Olivo de Anatolia;Turquía;TUR
174;Cedro del Atlas;Marruecos;MAR
175;Argán;Marruecos;MAR
176;Baobab africano;Senegal;SEN
177;Acacia de sombrilla;Kenia;KEN
178;Ébano africano;Tanzania;TZA
179;Marula;Sudáfrica;ZAF
180;Mopane;Zimbabue;ZWE
181;Baobab de Madagascar;Madagascar;MDG
182;Sicomoro;Egipto;EGY
183;Cedro del Himalaya;India;IND
184;Baniano;India;IND
185;Neem;India;IND
186;Árbol de sal;India;IND
187;Teca;Myanmar;MMR
188;Dipterocarpus;Malasia;MYS
189;Meranti rojo;Indonesia;IDN
190;Árbol de caucho;Indonesia;IDN
191;Bodhi;Sri Lanka;LKA
192;Pino rojo japonés;Japón;JPN
193;Cerezo japonés;Japón;JPN
194;Ginkgo;China;CHN
195;Secuoya del amanecer;China;CHN
196;Paulownia;China;CHN
197;Pino coreano;Corea del Sur;KOR
198;Eucalipto azul;Australia;AUS
199;Acacia dorada;Australia;AUS
200;Kauri;Nueva Zelanda;NZL
201;Guanacaste;Costa Rica;CRI
202;Guachipelín;Costa Rica;CRI
203;Roble sabana;Costa Rica;CRI
204;Corteza amarilla;Costa Rica;CRI
205;Almendro de montaña;Costa Rica;CRI
206;Ceiba;Guatemala;GTM
207;Matilisguate;Guatemala;GTM
208;Pinabete;Guatemala;GTM
209;Caoba;Belice;BLZ
210;Santa María;Belice;BLZ
211;Bálsamo;El Salvador;SLV
212;Maquilishuat;El Salvador;SLV
213;Pino ocote;Honduras;HND
214;Liquidámbar;Honduras;HND
215;Madroño;Nicaragua;NIC
216;Genízaro;Nicaragua;NIC
217;Árbol Panamá;Panamá;PAN
218;Espavé;Panamá;PAN
219;Palma real;Cuba;CUB
220;Jagüey;Cuba;CUB
221;Caoba dominicana;República Dominicana;DOM
222;Pino criollo;República Dominicana;DOM
223;Guayacán;Puerto Rico;PRI
224;Ausubo;Puerto Rico;PRI
225;Ahuehuete;México;MEX
226;Oyamel;México;MEX
227;Mezquite;México;MEX
228;Copal;México;MEX
229;Sabino;México;MEX
230;Arce azucarero;Canadá;CAN
231;Abeto balsámico;Canadá;CAN
232;Cedro rojo occidental;Canadá;CAN
233;Secuoya gigante;Estados Unidos;USA
234;Secuoya roja;Estados Unidos;USA
235;Pino ponderosa;Estados Unidos;USA
236;Roble blanco;Estados Unidos;USA
237;Nogal negro;Estados Unidos;USA
238;Araucaria;Chile;CHL
239;Alerce patagónico;Chile;CHL
240;Coigüe;Chile;CHL
241;Lenga;Argentina;ARG
242;Quebracho colorado;Argentina;ARG
243;Ombú;Argentina;ARG
244;Lapacho rosado;Paraguay;PRY
245;Palo santo;Paraguay;PRY
246;Tajibo;Bolivia;BOL
247;Queñua;Bolivia;BOL
248;Árbol de la quina;Perú;PER
249;Algarrobo peruano;Perú;PER
250;Cedro andino;Ecuador;ECU
251;Arrayán;Ecuador;ECU
252;Palma de cera;Colombia;COL
253;Guayacán amarillo;Colombia;COL
254;Araguaney;Venezuela;VEN
255;Samán;Venezuela;VEN
256;Pau-brasil;Brasil;BRA
257;Castaño de Brasil;Brasil;BRA
258;Caucho amazónico;Brasil;BRA
259;Ipê amarillo;Brasil;BRA
260;Alcornoque;Portugal;PRT
261;Olivo;España;ESP
262;Encina;España;ESP
263;Haya europea;Alemania;DEU
264;Roble inglés;Reino Unido;GBR
265;Fresno europeo;Irlanda;IRL
266;Abedul plateado;Finlandia;FIN
267;Abeto rojo;Noruega;NOR
268;Pino silvestre;Suecia;SWE
269;Tilo europeo;República Checa;CZE
270;Castaño europeo;Italia;ITA
271;Plátano de sombra;Francia;FRA
272;Cedro del Líbano;Líbano;LBN
273;Olivo de Anatolia;Turquía;TUR
274;Cedro del Atlas;Marruecos;MAR
275;Argán;Marruecos;MAR
276;Baobab africano;Senegal;SEN
277;Acacia de sombrilla;Kenia;KEN
278;Ébano africano;Tanzania;TZA
279;Marula;Sudáfrica;ZAF
280;Mopane;Zimbabue;ZWE
281;Baobab de Madagascar;Madagascar;MDG
282;Sicomoro;Egipto;EGY
283;Cedro del Himalaya;India;IND
284;Baniano;India;IND
285;Neem;India;IND
286;Árbol de sal;India;IND
287;Teca;Myanmar;MMR
288;Dipterocarpus;Malasia;MYS
289;Meranti rojo;Indonesia;IDN
290;Árbol de caucho;Indonesia;IDN
291;Bodhi;Sri Lanka;LKA
292;Pino rojo japonés;Japón;JPN
293;Cerezo japonés;Japón;JPN
294;Ginkgo;China;CHN
295;Secuoya del amanecer;China;CHN
296;Paulownia;China;CHN
297;Pino coreano;Corea del Sur;KOR
298;Eucalipto azul;Australia;AUS
299;Acacia dorada;Australia;AUS
300;Kauri;Nueva Zelanda;NZL
301;Guanacaste;Costa Rica;CRI
302;Guachipelín;Costa Rica;CRI
303;Roble sabana;Costa Rica;CRI
304;Corteza amarilla;Costa Rica;CRI
305;Almendro de montaña;Costa Rica;CRI
306;Ceiba;Guatemala;GTM
307;Matilisguate;Guatemala;GTM
308;Pinabete;Guatemala;GTM
309;Caoba;Belice;BLZ
310;Santa María;Belice;BLZ
311;Bálsamo;El Salvador;SLV
312;Maquilishuat;El Salvador;SLV
313;Pino ocote;Honduras;HND
314;Liquidámbar;Honduras;HND
315;Madroño;Nicaragua;NIC
316;Genízaro;Nicaragua;NIC
317;Árbol Panamá;Panamá;PAN
318;Espavé;Panamá;PAN
319;Palma real;Cuba;CUB
320;Jagüey;Cuba;CUB
321;Caoba dominicana;República Dominicana;DOM
322;Pino criollo;República Dominicana;DOM
323;Guayacán;Puerto Rico;PRI
324;Ausubo;Puerto Rico;PRI
325;Ahuehuete;México;MEX
326;Oyamel;México;MEX
327;Mezquite;México;MEX
328;Copal;México;MEX
329;Sabino;México;MEX
330;Arce azucarero;Canadá;CAN
331;Abeto balsámico;Canadá;CAN
332;Cedro rojo occidental;Canadá;CAN
333;Secuoya gigante;Estados Unidos;USA
334;Secuoya roja;Estados Unidos;USA
335;Pino ponderosa;Estados Unidos;USA
336;Roble blanco;Estados Unidos;USA
337;Nogal negro;Estados Unidos;USA
338;Araucaria;Chile;CHL
339;Alerce patagónico;Chile;CHL
340;Coigüe;Chile;CHL
341;Lenga;Argentina;ARG
342;Quebracho colorado;Argentina;ARG
343;Ombú;Argentina;ARG
344;Lapacho rosado;Paraguay;PRY
345;Palo santo;Paraguay;PRY
346;Tajibo;Bolivia;BOL
347;Queñua;Bolivia;BOL
348;Árbol de la quina;Perú;PER
349;Algarrobo peruano;Perú;PER
350;Cedro andino;Ecuador;ECU
351;Arrayán;Ecuador;ECU
352;Palma de cera;Colombia;COL
353;Guayacán amarillo;Colombia;COL
354;Araguaney;Venezuela;VEN
355;Samán;Venezuela;VEN
356;Pau-brasil;Brasil;BRA
357;Castaño de Brasil;Brasil;BRA
358;Caucho amazónico;Brasil;BRA
359;Ipê amarillo;Brasil;BRA
360;Alcornoque;Portugal;PRT
361;Olivo;España;ESP
362;Encina;España;ESP
363;Haya europea;Alemania;DEU
364;Roble inglés;Reino Unido;GBR
365;Fresno europeo;Irlanda;IRL
366;Abedul plateado;Finlandia;FIN
367;Abeto rojo;Noruega;NOR
368;Pino silvestre;Suecia;SWE
369;Tilo europeo;República Checa;CZE
370;Castaño europeo;Italia;ITA
371;Plátano de sombra;Francia;FRA
372;Cedro del Líbano;Líbano;LBN
373;Olivo de Anatolia;Turquía;TUR
374;Cedro del Atlas;Marruecos;MAR
375;Argán;Marruecos;MAR
376;Baobab africano;Senegal;SEN
377;Acacia de sombrilla;Kenia;KEN
378;Ébano africano;Tanzania;TZA
379;Marula;Sudáfrica;ZAF
380;Mopane;Zimbabue;ZWE
381;Baobab de Madagascar;Madagascar;MDG
382;Sicomoro;Egipto;EGY
383;Cedro del Himalaya;India;IND
384;Baniano;India;IND
385;Neem;India;IND
386;Árbol de sal;India;IND
387;Teca;Myanmar;MMR
388;Dipterocarpus;Malasia;MYS
389;Meranti rojo;Indonesia;IDN
390;Árbol de caucho;Indonesia;IDN
391;Bodhi;Sri Lanka;LKA
392;Pino rojo japonés;Japón;JPN
393;Cerezo japonés;Japón;JPN
394;Ginkgo;China;CHN
395;Secuoya del amanecer;China;CHN
396;Paulownia;China;CHN
397;Pino coreano;Corea del Sur;KOR
398;Eucalipto azul;Australia;AUS
399;Acacia dorada;Australia;AUS
400;Kauri;Nueva Zelanda;NZL
401;Guanacaste;Costa Rica;CRI
402;Guachipelín;Costa Rica;CRI
403;Roble sabana;Costa Rica;CRI
404;Corteza amarilla;Costa Rica;CRI
405;Almendro de montaña;Costa Rica;CRI
406;Ceiba;Guatemala;GTM
407;Matilisguate;Guatemala;GTM
408;Pinabete;Guatemala;GTM
409;Caoba;Belice;BLZ
410;Santa María;Belice;BLZ
411;Bálsamo;El Salvador;SLV
412;Maquilishuat;El Salvador;SLV
413;Pino ocote;Honduras;HND
414;Liquidámbar;Honduras;HND
415;Madroño;Nicaragua;NIC
416;Genízaro;Nicaragua;NIC
417;Árbol Panamá;Panamá;PAN
418;Espavé;Panamá;PAN
419;Palma real;Cuba;CUB
420;Jagüey;Cuba;CUB
421;Caoba dominicana;República Dominicana;DOM
422;Pino criollo;República Dominicana;DOM
423;Guayacán;Puerto Rico;PRI
424;Ausubo;Puerto Rico;PRI
425;Ahuehuete;México;MEX
426;Oyamel;México;MEX
427;Mezquite;México;MEX
428;Copal;México;MEX
429;Sabino;México;MEX
430;Arce azucarero;Canadá;CAN
431;Abeto balsámico;Canadá;CAN
432;Cedro rojo occidental;Canadá;CAN
433;Secuoya gigante;Estados Unidos;USA
434;Secuoya roja;Estados Unidos;USA
435;Pino ponderosa;Estados Unidos;USA
436;Roble blanco;Estados Unidos;USA
437;Nogal negro;Estados Unidos;USA
438;Araucaria;Chile;CHL
439;Alerce patagónico;Chile;CHL
440;Coigüe;Chile;CHL
441;Lenga;Argentina;ARG
442;Quebracho colorado;Argentina;ARG
443;Ombú;Argentina;ARG
444;Lapacho rosado;Paraguay;PRY
445;Palo santo;Paraguay;PRY
446;Tajibo;Bolivia;BOL
447;Queñua;Bolivia;BOL
448;Árbol de la quina;Perú;PER
449;Algarrobo peruano;Perú;PER
450;Cedro andino;Ecuador;ECU
451;Arrayán;Ecuador;ECU
452;Palma de cera;Colombia;COL
453;Guayacán amarillo;Colombia;COL
454;Araguaney;Venezuela;VEN
455;Samán;Venezuela;VEN
456;Pau-brasil;Brasil;BRA
457;Castaño de Brasil;Brasil;BRA
458;Caucho amazónico;Brasil;BRA
459;Ipê amarillo;Brasil;BRA
460;Alcornoque;Portugal;PRT
461;Olivo;España;ESP
462;Encina;España;ESP
463;Haya europea;Alemania;DEU
464;Roble inglés;Reino Unido;GBR
465;Fresno europeo;Irlanda;IRL
466;Abedul plateado;Finlandia;FIN
467;Abeto rojo;Noruega;NOR
468;Pino silvestre;Suecia;SWE
469;Tilo europeo;República Checa;CZE
470;Castaño europeo;Italia;ITA
471;Plátano de sombra;Francia;FRA
472;Cedro del Líbano;Líbano;LBN
473;Olivo de Anatolia;Turquía;TUR
474;Cedro del Atlas;Marruecos;MAR
475;Argán;Marruecos;MAR
476;Baobab africano;Senegal;SEN
477;Acacia de sombrilla;Kenia;KEN
478;Ébano africano;Tanzania;TZA
479;Marula;Sudáfrica;ZAF
480;Mopane;Zimbabue;ZWE
481;Baobab de Madagascar;Madagascar;MDG
482;Sicomoro;Egipto;EGY
483;Cedro del Himalaya;India;IND
484;Baniano;India;IND
485;Neem;India;IND
486;Árbol de sal;India;IND
487;Teca;Myanmar;MMR
488;Dipterocarpus;Malasia;MYS
489;Meranti rojo;Indonesia;IDN
490;Árbol de caucho;Indonesia;IDN
491;Bodhi;Sri Lanka;LKA
492;Pino rojo japonés;Japón;JPN
493;Cerezo japonés;Japón;JPN
494;Ginkgo;China;CHN
495;Secuoya del amanecer;China;CHN
496;Paulownia;China;CHN
497;Pino coreano;Corea del Sur;KOR
498;Eucalipto azul;Australia;AUS
499;Acacia dorada;Australia;AUS
500;Kauri;Nueva Zelanda;NZL
501;Guanacaste;Costa Rica;CRI
502;Guachipelín;Costa Rica;CRI
503;Roble sabana;Costa Rica;CRI
504;Corteza amarilla;Costa Rica;CRI
505;Almendro de montaña;Costa Rica;CRI
506;Ceiba;Guatemala;GTM
507;Matilisguate;Guatemala;GTM
508;Pinabete;Guatemala;GTM
509;Caoba;Belice;BLZ
510;Santa María;Belice;BLZ
511;Bálsamo;El Salvador;SLV
512;Maquilishuat;El Salvador;SLV
513;Pino ocote;Honduras;HND
514;Liquidámbar;Honduras;HND
515;Madroño;Nicaragua;NIC
516;Genízaro;Nicaragua;NIC
517;Árbol Panamá;Panamá;PAN
518;Espavé;Panamá;PAN
519;Palma real;Cuba;CUB
520;Jagüey;Cuba;CUB
521;Caoba dominicana;República Dominicana;DOM
522;Pino criollo;República Dominicana;DOM
523;Guayacán;Puerto Rico;PRI
524;Ausubo;Puerto Rico;PRI
525;Ahuehuete;México;MEX
526;Oyamel;México;MEX
527;Mezquite;México;MEX
528;Copal;México;MEX
529;Sabino;México;MEX
530;Arce azucarero;Canadá;CAN
531;Abeto balsámico;Canadá;CAN
532;Cedro rojo occidental;Canadá;CAN
533;Secuoya gigante;Estados Unidos;USA
534;Secuoya roja;Estados Unidos;USA
535;Pino ponderosa;Estados Unidos;USA
536;Roble blanco;Estados Unidos;USA
537;Nogal negro;Estados Unidos;USA
538;Araucaria;Chile;CHL
539;Alerce patagónico;Chile;CHL
540;Coigüe;Chile;CHL
541;Lenga;Argentina;ARG
542;Quebracho colorado;Argentina;ARG
543;Ombú;Argentina;ARG
544;Lapacho rosado;Paraguay;PRY
545;Palo santo;Paraguay;PRY
546;Tajibo;Bolivia;BOL
547;Queñua;Bolivia;BOL
548;Árbol de la quina;Perú;PER
549;Algarrobo peruano;Perú;PER
550;Cedro andino;Ecuador;ECU
551;Arrayán;Ecuador;ECU
552;Palma de cera;Colombia;COL
553;Guayacán amarillo;Colombia;COL
554;Araguaney;Venezuela;VEN
555;Samán;Venezuela;VEN
556;Pau-brasil;Brasil;BRA
557;Castaño de Brasil;Brasil;BRA
558;Caucho amazónico;Brasil;BRA
559;Ipê amarillo;Brasil;BRA
560;Alcornoque;Portugal;PRT
561;Olivo;España;ESP
562;Encina;España;ESP
563;Haya europea;Alemania;DEU
564;Roble inglés;Reino Unido;GBR
565;Fresno europeo;Irlanda;IRL
566;Abedul plateado;Finlandia;FIN
567;Abeto rojo;Noruega;NOR
568;Pino silvestre;Suecia;SWE
569;Tilo europeo;República Checa;CZE
570;Castaño europeo;Italia;ITA
571;Plátano de sombra;Francia;FRA
572;Cedro del Líbano;Líbano;LBN
573;Olivo de Anatolia;Turquía;TUR
574;Cedro del Atlas;Marruecos;MAR
575;Argán;Marruecos;MAR
576;Baobab africano;Senegal;SEN
577;Acacia de sombrilla;Kenia;KEN
578;Ébano africano;Tanzania;TZA
579;Marula;Sudáfrica;ZAF
580;Mopane;Zimbabue;ZWE
581;Baobab de Madagascar;Madagascar;MDG
582;Sicomoro;Egipto;EGY
583;Cedro del Himalaya;India;IND
584;Baniano;India;IND
585;Neem;India;IND
586;Árbol de sal;India;IND
587;Teca;Myanmar;MMR
588;Dipterocarpus;Malasia;MYS
589;Meranti rojo;Indonesia;IDN
590;Árbol de caucho;Indonesia;IDN
591;Bodhi;Sri Lanka;LKA
592;Pino rojo japonés;Japón;JPN
593;Cerezo japonés;Japón;JPN
594;Ginkgo;China;CHN
595;Secuoya del amanecer;China;CHN
596;Paulownia;China;CHN
597;Pino coreano;Corea del Sur;KOR
598;Eucalipto azul;Australia;AUS
599;Acacia dorada;Australia;AUS
600;Kauri;Nueva Zelanda;NZL
601;Guanacaste;Costa Rica;CRI
602;Guachipelín;Costa Rica;CRI
603;Roble sabana;Costa Rica;CRI
604;Corteza amarilla;Costa Rica;CRI
605;Almendro de montaña;Costa Rica;CRI
606;Ceiba;Guatemala;GTM
607;Matilisguate;Guatemala;GTM
608;Pinabete;Guatemala;GTM
609;Caoba;Belice;BLZ
610;Santa María;Belice;BLZ
611;Bálsamo;El Salvador;SLV
612;Maquilishuat;El Salvador;SLV
613;Pino ocote;Honduras;HND
614;Liquidámbar;Honduras;HND
615;Madroño;Nicaragua;NIC
616;Genízaro;Nicaragua;NIC
617;Árbol Panamá;Panamá;PAN
618;Espavé;Panamá;PAN
619;Palma real;Cuba;CUB
620;Jagüey;Cuba;CUB
621;Caoba dominicana;República Dominicana;DOM
622;Pino criollo;República Dominicana;DOM
623;Guayacán;Puerto Rico;PRI
624;Ausubo;Puerto Rico;PRI
625;Ahuehuete;México;MEX
626;Oyamel;México;MEX
627;Mezquite;México;MEX
628;Copal;México;MEX
629;Sabino;México;MEX
630;Arce azucarero;Canadá;CAN
631;Abeto balsámico;Canadá;CAN
632;Cedro rojo occidental;Canadá;CAN
633;Secuoya gigante;Estados Unidos;USA
634;Secuoya roja;Estados Unidos;USA
635;Pino ponderosa;Estados Unidos;USA
636;Roble blanco;Estados Unidos;USA
637;Nogal negro;Estados Unidos;USA
638;Araucaria;Chile;CHL
639;Alerce patagónico;Chile;CHL
640;Coigüe;Chile;CHL
641;Lenga;Argentina;ARG
642;Quebracho colorado;Argentina;ARG
643;Ombú;Argentina;ARG
644;Lapacho rosado;Paraguay;PRY
645;Palo santo;Paraguay;PRY
646;Tajibo;Bolivia;BOL
647;Queñua;Bolivia;BOL
648;Árbol de la quina;Perú;PER
649;Algarrobo peruano;Perú;PER
650;Cedro andino;Ecuador;ECU
651;Arrayán;Ecuador;ECU
652;Palma de cera;Colombia;COL
653;Guayacán amarillo;Colombia;COL
654;Araguaney;Venezuela;VEN
655;Samán;Venezuela;VEN
656;Pau-brasil;Brasil;BRA
657;Castaño de Brasil;Brasil;BRA
658;Caucho amazónico;Brasil;BRA
659;Ipê amarillo;Brasil;BRA
660;Alcornoque;Portugal;PRT
661;Olivo;España;ESP
662;Encina;España;ESP
663;Haya europea;Alemania;DEU
664;Roble inglés;Reino Unido;GBR
665;Fresno europeo;Irlanda;IRL
666;Abedul plateado;Finlandia;FIN
667;Abeto rojo;Noruega;NOR
668;Pino silvestre;Suecia;SWE
669;Tilo europeo;República Checa;CZE
670;Castaño europeo;Italia;ITA
671;Plátano de sombra;Francia;FRA
672;Cedro del Líbano;Líbano;LBN
673;Olivo de Anatolia;Turquía;TUR
674;Cedro del Atlas;Marruecos;MAR
675;Argán;Marruecos;MAR
676;Baobab africano;Senegal;SEN
677;Acacia de sombrilla;Kenia;KEN
678;Ébano africano;Tanzania;TZA
679;Marula;Sudáfrica;ZAF
680;Mopane;Zimbabue;ZWE
681;Baobab de Madagascar;Madagascar;MDG
682;Sicomoro;Egipto;EGY
683;Cedro del Himalaya;India;IND
684;Baniano;India;IND
685;Neem;India;IND
686;Árbol de sal;India;IND
687;Teca;Myanmar;MMR
688;Dipterocarpus;Malasia;MYS
689;Meranti rojo;Indonesia;IDN
690;Árbol de caucho;Indonesia;IDN
691;Bodhi;Sri Lanka;LKA
692;Pino rojo japonés;Japón;JPN
693;Cerezo japonés;Japón;JPN
694;Ginkgo;China;CHN
695;Secuoya del amanecer;China;CHN
696;Paulownia;China;CHN
697;Pino coreano;Corea del Sur;KOR
698;Eucalipto azul;Australia;AUS
699;Acacia dorada;Australia;AUS
700;Kauri;Nueva Zelanda;NZL
701;Guanacaste;Costa Rica;CRI
702;Guachipelín;Costa Rica;CRI
703;Roble sabana;Costa Rica;CRI
704;Corteza amarilla;Costa Rica;CRI
705;Almendro de montaña;Costa Rica;CRI
706;Ceiba;Guatemala;GTM
707;Matilisguate;Guatemala;GTM
708;Pinabete;Guatemala;GTM
709;Caoba;Belice;BLZ
710;Santa María;Belice;BLZ
711;Bálsamo;El Salvador;SLV
712;Maquilishuat;El Salvador;SLV
713;Pino ocote;Honduras;HND
714;Liquidámbar;Honduras;HND
715;Madroño;Nicaragua;NIC
716;Genízaro;Nicaragua;NIC
717;Árbol Panamá;Panamá;PAN
718;Espavé;Panamá;PAN
719;Palma real;Cuba;CUB
720;Jagüey;Cuba;CUB
721;Caoba dominicana;República Dominicana;DOM
722;Pino criollo;República Dominicana;DOM
723;Guayacán;Puerto Rico;PRI
724;Ausubo;Puerto Rico;PRI
725;Ahuehuete;México;MEX
726;Oyamel;México;MEX
727;Mezquite;México;MEX
728;Copal;México;MEX
729;Sabino;México;MEX
730;Arce azucarero;Canadá;CAN
731;Abeto balsámico;Canadá;CAN
732;Cedro rojo occidental;Canadá;CAN
733;Secuoya gigante;Estados Unidos;USA
734;Secuoya roja;Estados Unidos;USA
735;Pino ponderosa;Estados Unidos;USA
736;Roble blanco;Estados Unidos;USA
737;Nogal negro;Estados Unidos;USA
738;Araucaria;Chile;CHL
739;Alerce patagónico;Chile;CHL
740;Coigüe;Chile;CHL
741;Lenga;Argentina;ARG
742;Quebracho colorado;Argentina;ARG
743;Ombú;Argentina;ARG
744;Lapacho rosado;Paraguay;PRY
745;Palo santo;Paraguay;PRY
746;Tajibo;Bolivia;BOL
747;Queñua;Bolivia;BOL
748;Árbol de la quina;Perú;PER
749;Algarrobo peruano;Perú;PER
750;Cedro andino;Ecuador;ECU
751;Arrayán;Ecuador;ECU
752;Palma de cera;Colombia;COL
753;Guayacán amarillo;Colombia;COL
754;Araguaney;Venezuela;VEN
755;Samán;Venezuela;VEN
756;Pau-brasil;Brasil;BRA
757;Castaño de Brasil;Brasil;BRA
